date,station,invariant,lag_minutes,lag_start_idx,lag_start_dt,corr_at_lag,pval,pval_adj,significant
2024-03-24,KIEL2,shannon_entropy,-839.0,102,2024-03-23 22:04:00,,1.0,1.0,False
2024-03-24,KIEL2,spectral_entropy,557.0,800,2024-03-24 21:20:00,,1.0,1.0,False
2024-03-24,KIEL2,app_entropy,-945.0,49,2024-03-23 20:18:00,,1.0,1.0,False
2024-03-24,KIEL2,hurst,-881.0,81,2024-03-23 21:22:00,,1.0,1.0,False
2024-03-24,KIEL2,dfa,-1025.0,9,2024-03-23 18:58:00,,1.0,1.0,False
2024-03-24,KIEL2,mfhurst_b,-1041.0,1,2024-03-23 18:42:00,,1.0,1.0,False
2024-03-24,KIEL2,higuchi_fd,-901.0,71,2024-03-23 21:02:00,,1.0,1.0,False
2024-03-24,KIEL2,katz_fd,-1027.0,8,2024-03-23 18:56:00,,1.0,1.0,False
2024-03-24,KIEL2,petrosian_fd,-305.0,369,2024-03-24 06:58:00,,1.0,1.0,False
2024-03-24,KIEL2,lepel_ziv,-975.0,34,2024-03-23 19:48:00,,1.0,1.0,False
2024-03-24,KIEL2,corr_dim,-927.0,58,2024-03-23 20:36:00,,1.0,1.0,False
2024-03-24,LMKS,entropy,498.0,789,2024-03-24 20:58:00,,1.0,1.0,False
2024-03-24,LMKS,sampen,-592.0,244,2024-03-24 02:48:00,,1.0,1.0,False
2024-03-24,LMKS,permutation_entropy,-398.0,341,2024-03-24 06:02:00,,1.0,1.0,False
2024-03-24,LMKS,shannon_entropy,-974.0,53,2024-03-23 20:26:00,,1.0,1.0,False
2024-03-24,LMKS,spectral_entropy,-640.0,220,2024-03-24 02:00:00,,1.0,1.0,False
2024-03-24,LMKS,app_entropy,-1020.0,30,2024-03-23 19:40:00,,1.0,1.0,False
2024-03-24,LMKS,hurst,-990.0,45,2024-03-23 20:10:00,,1.0,1.0,False
2024-03-24,LMKS,dfa,-632.0,224,2024-03-24 02:08:00,,1.0,1.0,False
2024-03-24,LMKS,mfhurst_b,-948.0,66,2024-03-23 20:52:00,,1.0,1.0,False
2024-03-24,LMKS,higuchi_fd,-604.0,238,2024-03-24 02:36:00,,1.0,1.0,False
2024-03-24,LMKS,katz_fd,-944.0,68,2024-03-23 20:56:00,,1.0,1.0,False
2024-03-24,LMKS,petrosian_fd,184.0,632,2024-03-24 15:44:00,,1.0,1.0,False
2024-03-24,LMKS,lepel_ziv,-858.0,111,2024-03-23 22:22:00,,1.0,1.0,False
2024-03-24,LMKS,corr_dim,-56.0,512,2024-03-24 11:44:00,,1.0,1.0,False
2024-03-24,INVK,entropy,367.0,794,2024-03-24 21:08:00,,1.0,1.0,False
2024-03-24,INVK,sampen,-1179.0,21,2024-03-23 19:22:00,,1.0,1.0,False
2024-03-24,INVK,permutation_entropy,-1135.0,43,2024-03-23 20:06:00,,1.0,1.0,False
2024-03-24,INVK,shannon_entropy,-849.0,186,2024-03-24 00:52:00,,1.0,1.0,False
2024-03-24,INVK,spectral_entropy,181.0,701,2024-03-24 18:02:00,,1.0,1.0,False
2024-03-24,INVK,app_entropy,-1191.0,15,2024-03-23 19:10:00,,1.0,1.0,False
2024-03-24,INVK,hurst,-1197.0,12,2024-03-23 19:04:00,,1.0,1.0,False
2024-03-24,INVK,dfa,-1021.0,100,2024-03-23 22:00:00,,1.0,1.0,False
2024-03-24,INVK,mfhurst_b,-873.0,174,2024-03-24 00:28:00,,1.0,1.0,False
2024-03-24,INVK,higuchi_fd,-1209.0,6,2024-03-23 18:52:00,,1.0,1.0,False
